FIPS,CLG,CLC,DIV,CLH,RSI,FSI,FSG,FSV,FSP,FSC,MSI,MSH,MSD,MSS,MSM,ESA,ESI,GPS,GPT,GPE,RFS,FIndex,EIndex,MIndex,GIndex,SIIndex
12001000200,0.9969,0.6428,0.9854,1.6049388912590659,0.5725,0.8629,0.0072,0.0324,0.0473,0.11758887531273637,0.1152,0.0034,0.45964350090126177,0.0,0.2052,0.9144828965793158,0.0,0.0,1.3542,2.906287545054065,0.45994288290996543,0.17789814588545605,0.4572414482896579,0.15668870018025233,0.47338750500600724,0.38765
12001000301,0.9048,0.7656,0.8064,1.3145782618515822,0.1423,0.7023,0.0403,0.1551,0.2553,0.5284226450224007,0.4575,0.0255,0.6836571199679551,0.0,0.3351,0.8129625925185037,0.5818,1.9623,2.415,2.110332398878654,0.6841024099403777,0.2802371075037335,0.6973812962592518,0.30035142399359105,0.7208480443198505,0.47097500000000003
12001000302,0.7532,0.9162,0.5766,1.3625116068963785,0.4686,0.7297,0.192,0.355,0.8523,1.153546284982836,0.5833,0.4816,0.5769076707390346,0.4602,0.5338,0.5704140828165634,0.6176,1.9098000000000002,0.9432,2.3229875851021227,1.0384287789969437,0.5470910474971393,0.5940070414082816,0.527161534147807,0.5751097316780136,0.5998
12001000400,0.8621,0.7478,0.8213,1.479659698346174,0.5168,0.7971,0.1066,0.9722,0.5671,1.470879152848083,0.8821,0.8612,0.7860004005607851,0.3857,0.6147,0.5330066013202641,0.5362,1.8681,2.2896,1.7577092511013217,1.1730046595520818,0.6523131921413472,0.5346033006601321,0.705940080112157,0.6572676945668134,0.68305
12001000500,0.9168,0.5056,0.4051,0.9904886189675509,0.1459,0.5059,0.1486,0.169,0.3173,0.5651946238436028,0.3365,0.0286,0.46154616463048265,0.2674,0.3615,0.6756351270254051,0.3915,0.5732999999999999,2.1672000000000002,2.5861033239887865,0.7297960819680344,0.28433243730726715,0.5335675635127025,0.29110923292609653,0.5918448137765319,0.34495000000000003
12001000600,0.9421,0.9841,0.963,1.7908500012547997,0.6788,0.9466,0.1066,0.964,0.355,1.40443358352243,0.9882,0.8033,0.9403164430202282,0.0,0.4825,0.5524104820964193,0.0,1.2243,2.6619,1.891970364437325,0.9409289042537201,0.6294389305870717,0.27620524104820965,0.6428632886040456,0.642018929381925,0.6534
12001000700,0.8909,0.8612,0.7788,1.6769141968027705,0.8101,0.8985,0.481,0.5406,0.8367,1.3474137429452493,0.4575,0.7538,0.8259563388744241,0.5221,0.7028,0.30876175235047004,0.69,0.8424,2.6229,1.7577092511013217,1.3496668169747983,0.6840356238242083,0.49938087617523497,0.6524312677748848,0.5803343612334803,0.714025
12001000806,0.9815,0.6536,0.8067,1.3743569152006423,0.2964,0.7379,0.0312,0.0602,0.0432,0.124105428521557,0.0787,0.0036,0.5648908471860605,0.5221,0.5643,0.9389877975595119,0.5004,1.8681,2.6790000000000003,2.853724469363236,1.0884312841324717,0.16610090475359285,0.7196938987797559,0.3467181694372121,0.8223138299292485,0.40335
12001000808,0.9594,0.7992,0.7915,1.3610058473661755,0.1615,0.7293,0.0206,0.2211,0.295,0.6280328155000873,0.5427,0.0384,0.6670338473863409,0.5828,0.6546,0.9151830366073215,0.5362,1.6476000000000002,2.6163,0.0,1.2514655042837817,0.3156721359166812,0.7256915183036607,0.4971067694772682,0.4737666666666666,0.492425
12001000809,0.8875,0.778,0.6191,1.4134062790172408,0.5314,0.7615,0.6896,0.0521,0.7067,0.8806074358526794,0.0651,0.1499,0.6107550570799118,0.3596,0.4976,0.8966793358671734,0.5004,2.4173999999999998,2.6871,2.9155987184621543,0.9714915576932712,0.5150845726421132,0.6985396679335867,0.33659101141598236,0.8911220798291283,0.46459999999999996
12001000901,0.9695,0.9373,0.9981,1.4898486711672145,0.0634,0.8021,0.0,0.0406,0.0079,0.14621516262291268,0.2028,0.0048,0.580012016823553,0.3231,0.4604,0.7831566313262652,0.4734,2.094,2.868,2.9957949539447335,0.9041535147051455,0.16613586043715212,0.6282783156631326,0.3142224033647106,0.8841994393271926,0.385425
